"","State","asian_prop","black_prop","hispanic_prop","white_prop","ppbill","pcttip","flair","intro","selling","repeat.","customer_name","smile","thanks","Extraverted_enthusiastic","Critical_quarrelsome","Dependable_selfdisciplined","Anxious_easily_upset","Reserved_quiet","Sympathetic_warm","Disorganized_careless","Conventional_uncreative","birth_yr","sex","race"
"2","or",1,5,45,65,20,12,"Never","Never","Always","Never","Often","Often","Never","7","6","7","2","1","2","1","1",1969,"Female","White"
"4","tx",1,20,30,59,100,20,"Sometimes","Always","Always","Often","Often","Often","Always","7","1","7","2","2","6","2","1",1973,"Female","White"
"6","or",15,10,5,70,35,22,"Never","Never","Always","Sometimes","Sometimes","Often","Never","6","2","5","2","5","3","5","1",1961,"Male","White"
"7","or",4,5,1,90,15,20,"Never","Always","Often","Sometimes","Often","Often","Sometimes","7","3","6","5","1","7","1","2",1975,"Female","White"
"8","la",5,5,5,85,75,21,"Sometimes","Sometimes","Always","Sometimes","Sometimes","Often","Never","6","1","6","1","5","5","1","6",1954,"Male","White"
"9","ky",5,10,5,80,15,12,"Never","Always","Often","Often","Often","Often","Never","4","5","6","2","4","5","1","3",1960,"Male","White"
"10","oh",2,10,1,87,25,20,"Never","Sometimes","Always","Sometimes","Never","Sometimes","Never","5","2","7","1","3","5","1","3",1970,"Female","White"
"12","sp - brazil",20,20,15,45,29,10,"Sometimes","Always","Always","Always","Often","Often","Never","6","5","3","4","2","5","4","3",1981,"Female","White"
"13","tn",5,10,5,80,50,18,"Never","Sometimes","Often","Never","Often","Sometimes","Never","7","5","5","5","1","3","5","2",1971,"Male","White"
"15","la",3,40,2,55,21,22,"Sometimes","Always","Always","Always","Always","Often","Never","7","2","7","3","1","6","1","2",1955,"Female","White"
"16","ak",5,2,5,88,65,22,"Often","Often","Always","Sometimes","Often","Often","Sometimes","5","2","7","2","4","4","1","3",1975,"Female","White"
"17","ny",10,10,5,75,50,25,"Never","Always","Always","Sometimes","Sometimes","Often","Sometimes","6","2","6","2","5","6","2","2",1986,"Female","White"
"18","nj",1,1,3,95,26,18,"Never","Always","Often","Sometimes","Never","Often","Never","6","2","3","5","5","6","5","2",1985,"Female","White"
"20","ny",20,5,5,70,35,18,"Sometimes","Always","Often","Often","Sometimes","Sometimes","Never","3","5","7","3","6","5","1","6",1985,"Male","White"
"21","ny",20,5,5,70,40,10,"Never","Always","Often","Sometimes","Sometimes","Never","Never","7","3","6","1","2","4","1","3",1985,"Female","White"
"22","ny",13,1,1,85,40,18,"Never","Always","Always","Often","Often","Always","Never","7","5","7","3","1","5","1","2",1985,"Female","White"
"24","ny",15,5,5,75,30,17,"Never","Often","Often","Often","Always","Always","Always","7","1","7","1","1","7","2","2",1984,"Female","White"
"26","ny",3,10,1,86,50,21,"Always","Always","Always","Often","Always","Always","Always","7","2","7","2","1","7","1","1",1984,"Male","White"
"28","ak",3,1,1,95,15,10,"Never","Sometimes","Never","Often","Never","Sometimes","Often","7","4","5","5","2","7","3","1",1987,"Female","Hispanic"
"29","oh",0,1,0,99,8,12,"Never","Never","Sometimes","Never","Never","Sometimes","Never","6","5","6","2","5","5","2","2",1984,"Female","Asian"
"30","oh",1,4,4,91,15,18,"Sometimes","Always","Often","Often","Never","Always","Sometimes","4","1","6","5","6","6","3","4",1985,"Female","Asian"
"31","oh",5,20,5,70,15,18,"Never","Always","Always","Sometimes","Often","Often","Never","7","7","7","3","1","6","1","1",1985,"Male","White"
"32","ny",15,10,5,70,20,23,"Often","Sometimes","Always","Often","Often","Often","Never","7","4","7","5","1","6","1","1",1985,"Female","White"
"33","nj",1,2,2,97,15,18,"Sometimes","Sometimes","Sometimes","Sometimes","Never","Often","Often","6","1","6","3","3","6","4","5",1987,"Female","White"
"34","sc",5,25,25,45,15,15,"Always","Always","Always","Often","Sometimes","Often","Never","7","2","3","2","1","5","1","2",1984,"Female","White"
"35","ca",15,15,15,65,15,17,"Never","Always","Often","Sometimes","Never","Often","Sometimes","6","5","5","2","2","5","2","1",1986,"Male","White"
"36","ny",1,1,0,98,12,30,"Sometimes","Often","Sometimes","Often","Sometimes","Always","Never","6","1","7","5","5","6","3","1",1986,"Female","White"
"37","dc",5,15,5,75,10,20,"Never","Never","Always","Often","Sometimes","Always","Never","7","2","7","2","1","7","1","1",1983,"Female","White"
"38","ny",10,5,5,80,40,18,"Never","Always","Often","Often","Sometimes","Often","Sometimes","7","3","6","2","1","6","1","2",1985,"Male","Asian"
"39","ny",25,10,5,60,35,15,"Never","Often","Often","Sometimes","Sometimes","Often","Never","6","3","5","2","3","6","2","3",1986,"Female","Asian"
"40","co",5,5,5,85,28,18,"Never","Never","Often","Sometimes","Sometimes","Often","Never","6","2","7","1","5","3","1","3",1985,"Male","White"
"41","fl",1,9,20,70,22,15,"Never","Always","Often","Often","Sometimes","Often","Sometimes","7","1","7","1","1","7","1","1",1984,"Male","White"
"42","germany",1,1,1,97,50,5,"Sometimes","Sometimes","Often","Often","Never","Often","Never","5","5","7","3","5","6","1","3",1981,"Female","White"
"43","singapore",90,0,0,10,100,10,"Never","Always","Always","Often","Often","Always","Never","7","3","7","2","2","7","1","1",1984,"Female","White"
"44","ca",5,10,20,65,12,16,"Never","Often","Sometimes","Always","Sometimes","Often","Never","7","6","7","2","1","7","2","1",1986,"Male","White"
"46","ma",15,5,10,70,25,20,"Sometimes","Always","Often","Often","Often","Often","Often","7","2","6","2","1","6","1","2",1987,"Male","White"
"48","canada",25,2.5,2.5,70,75,10,"Sometimes","Sometimes","Always","Sometimes","Never","Always","Always","7","2","7","5","2","5","1","4",1987,"Female","White"
"49","tn",15,5,30,50,15,18,"Never","Always","Often","Often","Never","Always","Sometimes","5","1","6","2","4","6","2","2",1986,"Female","White"
"50","ny",20,4,1,75,35,18,"Never","Always","Often","Always","Sometimes","Often","Never","6","1","6","3","6","7","3","4",1986,"Female","White"
"52","oh",1,2,1,95,24,20,"Never","Always","Always","Never","Never","Often","Never","7","3","6","1","1","5","1","4",1986,"Male","White"
"53","ca",10,5,15,70,25,18,"Never","Never","Sometimes","Often","Sometimes","Often","Often","7","1","7","1","2","6","1","1",1981,"Female","White"
"56","bermuda",2,20,3,75,100,15,"Never","Always","Always","Sometimes","Often","Always","Never","7","2","7","2","7","7","1","1",1972,"Male","White"
"59","ny",15,5,2,78,25,20,"Never","Often","Often","Often","Often","Often","Never","6","4","7","3","3","6","1","2",1984,"Male","White"
"60","ny",20,10,2,50,40,18,"Never","Always","Often","Often","Sometimes","Often","Never","7","2","7","1","1","5","1","1",1985,"Female","White"
"61","ny",10,5,20,65,50,18,"Never","Always","Often","Often","Never","Always","Never","7","2","6","1","1","5","6","2",1984,"Male","Hispanic"
"62","wi",2,2,0,96,8,15,"Never","Often","Sometimes","Sometimes","Sometimes","Often","Sometimes","5","4","5","3","2","6","2","2",1986,"Female","White"
"63","il",15,5,10,70,60,20,"Sometimes","Always","Always","Sometimes","Always","Often","Sometimes","6","1","7","1","6","6","1","1",1976,"Male","White"
"64","ny",20,10,10,60,25,15,"Never","Always","Often","Sometimes","Often","Always","Never","7","5","6","3","1","7","5","2",1984,"Female","Asian"
"65","ma",3,2,0,95,10,20,"Never","Never","Never","Always","Sometimes","Always","Never","7","4","6","4","5","5","2","2",1986,"Female","White"
"66","pa",7,10,3,80,15,22,"Never","Always","Always","Often","Often","Always","Often","7","3","6","5","1","7","1","1",1983,"Female","White"
"67","pa",0.33,0.33,0.33,99,9,4,"Never","Always","Always","Sometimes","Always","Always","Sometimes","4","1","6","1","1","6","1","4",1977,"Female","White"
"68","oh",5,2,2,90,30,18,"Never","Always","Always","Sometimes","Sometimes","Often","Never","5","5","7","5","6","6","1","1",1965,"Male","Asian"
"69","tx",0,5,3,92,50,40,"Never","Always","Often","Sometimes","Sometimes","Always","Sometimes","7","5","7","1","2","6","1","1",1987,"Female","White"
"70","ny",0,3,2,95,40,18,"Never","Always","Often","Sometimes","Always","Often","Never","4","5","5","5","5","5","3","3",1984,"Male","White"
"71","fl",1,19,20,60,15,10,"Sometimes","Always","Often","Always","Sometimes","Often","Sometimes","5","3","7","1","1","6","1","2",1987,"Male","White"
"74","sc",0,15,5,80,20,17,"Never","Always","Often","Sometimes","Never","Always","Never","7","5","7","6","1","6","1","3",1985,"Female","White"
"75","ny",5,5,5,85,40,15,"Never","Never","Sometimes","Sometimes","Never","Always","Never","3","1","7","5","6","6","2","5",1986,"Female","Asian"
"76","tx",5,15,10,70,12,18,"Never","Always","Sometimes","Sometimes","Often","Sometimes","Never","5","6","6","6","7","6","3","4",1985,"Male","Asian"
"77","ny",20,10,10,60,15,18,"Never","Sometimes","Sometimes","Often","Never","Often","Never","3","2","5","5","5","6","4","5",1986,"Female","Asian"
"78","tx",5,10,10,75,10,17,"Never","Always","Sometimes","Never","Never","Always","Sometimes","6","2","7","2","1","6","2","3",1985,"Female","White"
"79","ny",3,2,8,87,12,15,"Sometimes","Always","Often","Often","Often","Always","Sometimes","6","5","7","4","3","6","3","3",1985,"Male","Asian"
"80","me",0,0,0,100,80,25,"Never","Always","Always","Often","Sometimes","Never","Never","5","6","7","4","3","4","1","3",1982,"Male","White"
"81","nj",0,7,1,92,60,20,"Never","Always","Often","Always","Sometimes","Often","Always","6","3","5","1","1","6","3","2",1986,"Female","White"
"82","nj",10,10,20,60,12,17,"Never","Always","Often","Often","Never","Often","Always","3","1","6","3","5","5","2","4",1987,"Female","White"
"83","ny",5,10,25,60,15,17,"Never","Always","Sometimes","Never","Sometimes","Often","Always","7","1","7","3","4","5","1","1",1989,"Male","White"
"85","or",15,15,20,50,25,15,"Always","Always","Always","Often","Often","Always","Often","5","1","7","1","4","7","1","1",1943,"Female","White"
"86","tx",5,5,5,85,15,20,"Often","Always","Always","Always","Sometimes","Always","Never","7","1","4","4","1","6","3","1",1987,"Male","White"
"87","tx",5,10,10,75,25,20,"Often","Always","Often","Often","Sometimes","Always","Never","7","4","4","3","1","5","3","2",1983,"Female","White"
"88","md",5,20,15,60,16,17,"Never","Always","Often","Often","Sometimes","Always","Sometimes","7","5","7","4","1","6","1","1",1983,"Female","White"
"89","ny",95,0,0,5,23,13,"Never","Often","Never","Often","Often","Always","Never","6","2","6","2","3","6","2","4",1984,"Female","Asian"
"90","ny",13,10,2,75,45,18,"Never","Always","Sometimes","Sometimes","Sometimes","Always","Never","6","2","5","3","5","5","1","2",1985,"Female","White"
"91","la.",3,18,1,78,14.89,29,"Never","Always","Always","Always","Sometimes","Often","Always","7","1","7","1","1","7","2","1",1982,"Female","White"
"93","ny",10,10,0,80,35,16.5,"Never","Always","Often","Sometimes","Often","Always","Never","7","2","7","1","1","6","1","4",1986,"Male","White"
"94","mo",1,5,1,93,22,15,"Often","Always","Always","Often","Often","Often","Never","6","2","7","1","1","5","2","1",1975,"Male","White"
"97","pa",1,10,2,87,15,20,"Never","Always","Always","Often","Sometimes","Always","Never","7","2","7","3","2","7","2","1",1987,"Male","White"
"99","mi",2,2,1,95,11.95,15,"Never","Often","Never","Always","Sometimes","Never","Always","1","1","7","1","7","7","5","1",1987,"Female","White"
"101","delaware",4,5,1,90,30,20,"Never","Always","Always","Always","Sometimes","Often","Never","7","1","7","1","1","7","1","1",1985,"Female","White"
"103","russia",4,1,30,65,30,8,"Often","Sometimes","Always","Often","Never","Always","Never","7","2","3","5","6","7","1","1",1986,"Female","White"
"104","russia",7,3,10,80,30,8,"Never","Never","Never","Sometimes","Sometimes","Often","Never","6","5","6","7","4","6","1","4",1987,"Female","White"
"105","russia",5,5,30,60,100,10,"Sometimes","Sometimes","Sometimes","Sometimes","Often","Often","Never","6","1","7","1","4","4","1","6",1983,"Male","White"
"106","russia",3,7,1,89,100,10,"Never","Never","Often","Sometimes","Sometimes","Sometimes","Never","6","4","3","2","5","6","2","3",1979,"Male","White"
"107","russia",5,2,3,90,100,10,"Never","Sometimes","Sometimes","Always","Sometimes","Sometimes","Never","6","2","2","1","4","5","1","1",1987,"Male","White"
"108","russia",20,2,8,70,50,15,"Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","6","4","6","6","3","5","2","4",1985,"Female","White"
"109","russia",5,1,8,86,50,5,"Sometimes","Never","Often","Often","Sometimes","Sometimes","Never","6","6","6","4","1","6","1","1",1978,"Male","White"
"111","ca",5,1,0,94,9.75,18,"Always","Never","Sometimes","Sometimes","Never","Always","Never","3","5","6","2","5","6","2","5",1986,"Female","Asian"
"112","tx",2,2,20,76,55,18,"Always","Often","Always","Often","Sometimes","Always","Sometimes","7","1","6","2","1","7","2","1",1961,"Male","White"
"114","tx",0,1,5,94,50,20,"Sometimes","Always","Always","Always","Sometimes","Always","Often","7","3","6","1","2","6","3","2",1984,"Male","White"
"115","va",1,1,25,75,30,19.5,"Sometimes","Never","Always","Often","Sometimes","Often","Never","7","3","5","4","2","6","5","1",1984,"Male","White"
"116","pa",10,10,5,75,50,20,"Never","Sometimes","Always","Often","Sometimes","Often","Never","6","5","6","5","3","4","6","4",1986,"Female","White"
"119","pa",2,10,8,80,40,17,"Never","Always","Always","Always","Often","Always","Often","6","2","7","2","5","6","1","2",1987,"Female","White"
"120","pa",0,0,0,100,15,15,"Never","Often","Sometimes","Often","Often","Sometimes","Always","5","2","6","2","2","3","1","2",1986,"Male","White"
"121","pa",5,5,15,75,25,10,"Never","Sometimes","Often","Often","Sometimes","Always","Always","5","2","7","4","5","7","1","2",1985,"Female","Asian"
"122","pa",5,5,10,80,20,20,"Never","Always","Sometimes","Sometimes","Sometimes","Often","Often","6","3","6","2","3","5","2","3",1982,"Male","White"
"123","pa",0,0,0,100,10,15,"Never","Never","Sometimes","Sometimes","Never","Never","Always","6","4","4","3","5","6","1","2",1986,"Female","White"
"124","pa",10,10,5,75,20,20,"Sometimes","Always","Often","Sometimes","Sometimes","Sometimes","Sometimes","6","4","6","5","2","6","1","2",1985,"Female","White"
"125","pa",3,5,2,90,15,20,"Always","Always","Always","Always","Never","Often","Never","4","1","7","1","2","7","1","5",1985,"Male","White"
"127","canada",3,2,1,94,16,12,"Often","Always","Always","Always","Never","Often","Sometimes","6","2","7","2","4","6","1","4",1961,"Male","White"
"128","russia",8,2,10,80,30,10,"Never","Often","Sometimes","Often","Never","Often","Never","6","6","2","2","5","7","1","1",1985,"Female","White"
"129","oh",9,1,0,90,8,15,"Never","Always","Always","Always","Often","Always","Never","5","2","6","2","4","6","2","1",1984,"Female","White"
"130","mo",8,8,8,76,14,17,"Never","Always","Often","Often","Often","Sometimes","Often","7","5","6","2","1","7","2","5",1974,"Male","White"
"131","oh",1,1,1,97,40,18,"Always","Always","Always","Often","Never","Sometimes","Sometimes","7","5","7","2","1","6","1","1",1984,"Female","White"
"132","nc",5,35,10,50,14,16,"Sometimes","Always","Often","Sometimes","Never","Always","Sometimes","7","2","7","2","2","6","3","3",1984,"Female","White"
"133","pa",8,8,5,79,12,20,"Often","Often","Always","Sometimes","Often","Often","Sometimes","5","3","6","4","4","6","1","1",1985,"Female","White"
"134","il",10,20,20,50,45,18,"Sometimes","Always","Always","Sometimes","Always","Always","Always","7","5","7","1","2","6","1","2",1967,"Female","White"
"135","oh",3,10,2,85,9,15,"Never","Sometimes","Often","Sometimes","Never","Often","Never","5","1","7","2","5","6","2","3",1984,"Female","White"
"136","oh",8,5,7,80,10,15,"Always","Always","Always","Sometimes","Sometimes","Always","Always","6","1","6","2","4","5","6","4",1985,"Female","White"
"137","pa.",3,1,2,94,10,25,"Always","Always","Always","Often","Always","Always","Always","7","1","7","1","1","7","1","1",1959,"Female","White"
"138","oh",5,5,10,80,100,20,"Often","Always","Often","Often","Sometimes","Sometimes","Never","7","1","7","2","1","7","1","1",1985,"Female","White"
"141","oh",15,40,5,40,12,15,"Never","Sometimes","Always","Always","Always","Always","Never","6","1","6","2","3","7","4","1",1984,"Female","White"
"142","md",5,5,5,85,50,20,"Often","Always","Always","Never","Sometimes","Always","Always","7","1","7","1","1","7","1","1",1986,"Female","White"
"143","pa",5,3,1,91,40,17,"Never","Always","Often","Sometimes","Sometimes","Often","Never","6","5","5","4","1","6","3","2",1985,"Male","White"
"144","oh",5,10,5,85,20,15,"Never","Always","Often","Sometimes","Sometimes","Always","Always","6","2","5","4","1","6","2","2",1982,"Female","White"
"145","oh",0,20,5,85,15,20,"Never","Always","Always","Always","Often","Always","Always","7","3","7","2","1","7","1","1",1976,"Female","White"
"146","pa",0,0,3,97,15,10,"Never","Always","Often","Often","Often","Always","Sometimes","6","5","6","3","2","7","7","7",1985,"Female","White"
"147","pa",1,3,1,95,25,19,"Never","Always","Often","Often","Sometimes","Always","Never","7","2","7","5","2","6","2","1",1986,"Female","White"
"148","ct",10,15,15,60,15,18,"Never","Often","Often","Often","Never","Always","Always","7","4","6","1","1","6","2","1",1983,"Female","Hispanic"
"149","vt",1,1,1,97,35,18,"Always","Always","Often","Always","Often","Always","Always","7","1","6","3","1","7","2","2",1985,"Female","White"
"150","mn",1,7,7,85,14,20,"Sometimes","Often","Sometimes","Often","Sometimes","Often","Never","4","2","6","1","3","6","1","2",1987,"Female","White"
"151","dc",25,5,3,55,40,20,"Often","Often","Always","Often","Often","Always","Sometimes","6","2","5","5","1","6","2","1",1985,"Female","White"
"152","oh",5,35,10,50,15,15,"Sometimes","Always","Often","Often","Sometimes","Often","Sometimes","7","5","7","4","1","4","2","1",1985,"Female","White"
"153","pa",5,10,1,84,13,18,"Never","Always","Often","Often","Never","Always","Never","7","2","7","3","4","6","2","1",1985,"Female","White"
"154","al",2,43,1,54,10,30,"Never","Always","Always","Sometimes","Sometimes","Sometimes","Sometimes","6","4","7","2","2","5","4","3",1986,"Male","White"
"156","ma",0,1,1,98,25,20,"Sometimes","Often","Often","Always","Sometimes","Always","Always","6","1","7","1","5","7","1","2",1978,"Female","White"
"157","oh",10,15,10,65,7,15,"Sometimes","Always","Always","Always","Sometimes","Always","Always","6","1","7","1","5","6","2","2",1984,"Female","Asian"
"159","pa",15,10,5,70,8,15,"Sometimes","Always","Often","Often","Sometimes","Often","Never","5","2","7","1","5","6","2","3",1982,"Male","White"
"160","pa",1,10,10,79,20,20,"Never","Always","Sometimes","Sometimes","Often","Always","Always","6","2","7","1","6","5","1","2",1985,"Female","White"
"164","oh",5,5,15,75,11.5,20,"Always","Always","Always","Often","Sometimes","Always","Always","7","2","6","2","2","7","2","1",1984,"Female","Hispanic"
"165","oh",0,30,10,60,7.5,15,"Always","Always","Always","Sometimes","Sometimes","Always","Often","7","1","7","2","1","5","1","2",1985,"Female","White"
"166","oh",25,20,5,50,15,20,"Often","Always","Often","Always","Sometimes","Always","Always","7","4","7","1","2","5","1","1",1984,"Female","White"
"167","pa",10,8,2,80,8.95,18,"Never","Often","Sometimes","Sometimes","Sometimes","Often","Often","6","2","6","2","3","5","2","3",1985,"Female","White"
"169","oh",5,23,2,70,15,18,"Often","Always","Always","Often","Often","Often","Often","6","3","7","2","1","6","3","2",1977,"Female","White"
"170","oh",2,5,1,92,15,20,"Never","Always","Always","Always","Sometimes","Always","Sometimes","6","1","6","1","1","6","2","2",1950,"Female","Black"
"171","mi",3,5,2,90,30,15,"Sometimes","Always","Always","Often","Sometimes","Often","Sometimes","6","4","7","3","2","7","2","1",1984,"Female","White"
"172","ne",5,2,5,88,20,13,"Always","Always","Always","Sometimes","Sometimes","Often","Always","7","2","6","2","1","6","4","1",1981,"Female","White"
"173","tn",3,10,2,85,60,19,"Never","Always","Always","Always","Always","Often","Often","6","2","7","3","4","6","5","1",1954,"Male","White"
"174","ar",10,40,5,45,20,25,"Sometimes","Always","Always","Sometimes","Sometimes","Often","Sometimes","3","5","6","7","7","7","1","1",1971,"Female","White"
"175","md",10,35,15,40,22,15,"Often","Always","Always","Often","Sometimes","Sometimes","Never","6","3","6","1","3","5","1","2",1984,"Male","White"
"176","sc",1,3,1,95,25,18,"Never","Always","Always","Often","Sometimes","Always","Never","7","3","7","1","5","6","1","4",1976,"Male","White"
"177","ak",12,5,3,80,60,14,"Sometimes","Always","Often","Always","Often","Always","Often","5","2","5","4","4","5","3","3",1984,"Male","White"
"178","kerala",60,10,10,20,10,5,"Never","Sometimes","Often","Often","Often","Always","Never","2","3","4","3","3","3","4","4",1972,"Male","Asian"
"179","me",2,2,2,94,10,18,"Sometimes","Always","Always","Always","Often","Always","Always","7","1","7","1","1","7","1","1",1952,"Female","White"
"180","nv",20,10,20,50,15,18,"Never","Always","Always","Often","Often","Always","Never","5","2","7","1","6","7","1","2",1970,"Female","Black"
"183","hi",50,10,10,30,30,18,"Never","Always","Always","Always","Often","Often","Always","7","1","7","2","2","6","1","1",1969,"Male","Black"
"184","il",5,5,5,85,30,19,"Never","Always","Always","Often","Always","Always","Never","7","1","7","2","2","6","1","6",1972,"Female","White"
"186","md",5,10,10,75,15,20,"Never","Always","Always","Always","Never","Often","Often","4","3","6","4","3","5","2","4",1987,"Male","White"
"188","tx",1,1,1,97,11,16,"Often","Always","Always","Sometimes","Often","Sometimes","Always","5","6","6","5","3","1","3","1",1967,"Female","White"
"189","la",10,45,0,45,12,10,"Often","Always","Always","Always","Always","Always","Always","6","4","6","4","4","7","4","1",1970,"Female","White"
"190","tx",3,20,17,60,12,15,"Never","Always","Always","Often","Sometimes","Often","Always","6","1","7","1","1","7","1","2",1982,"Male","White"
"191","nj",5,5,15,75,10,20,"Never","Always","Always","Sometimes","Always","Sometimes","Sometimes","7","3","7","2","5","5","1","1",1985,"Male","White"
"192","mi",2,4,4,90,15,18,"Never","Always","Always","Always","Often","Always","Never","7","2","7","1","1","4","1","1",1984,"Male","Asian"
"194","tn",2,6,2,90,15,18,"Never","Sometimes","Sometimes","Often","Often","Sometimes","Never","2","4","7","4","6","6","1","2",1975,"Female","White"
"196","mn",50,10,10,30,100,17,"Often","Never","Sometimes","Always","Sometimes","Often","Often","5","4","6","3","4","6","2","3",1983,"Female","Hispanic"
"197","ct",5,15,5,75,25,15,"Never","Always","Sometimes","Sometimes","Never","Often","Never","6","1","7","4","5","6","2","3",1979,"Female","White"
"198","mt",0,0,0,100,15,15,"Often","Sometimes","Sometimes","Often","Sometimes","Always","Always","3","3","4","3","5","7","4","1",1989,"Female","White"
"199","mo",2,6,6,86,17,13,"Never","Often","Often","Never","Always","Always","Sometimes","6","2","2","5","2","6","4","2",1979,"Female","White"
"201","ga",10,40,10,40,25,20,"Often","Always","Always","Always","Sometimes","Sometimes","Often","4","4","5","3","3","3","3","1",1973,"Female","White"
"202","co",5,5,5,85,20,18.9,"Never","Always","Always","Never","Never","Often","Never","6","2","7","2","3","6","2","2",1975,"Female","White"
"203","fl",2,20,50,28,15,18,"Always","Always","Always","Always","Sometimes","Always","Often","7","3","6","4","2","7","3","1",1987,"Male","Hispanic"
"204","ia",5,10,5,80,15,15,"Never","Never","Sometimes","Often","Never","Sometimes","Sometimes","6","2","7","3","5","7","1","1",1977,"Female","White"
"205","in",2,15,5,78,22,15,"Never","Sometimes","Always","Always","Often","Always","Never","6","2","7","1","3","6","1","2",1961,"Female","White"
"206","ks",10,30,20,50,12.5,20,"Sometimes","Always","Often","Always","Always","Sometimes","Always","6","2","6","5","3","7","1","1",1980,"Male","White"
"207","ca",5,5,10,80,50,20,"Sometimes","Sometimes","Always","Always","Always","Always","Sometimes","6","4","6","2","3","6","4","1",1976,"Female","White"
"208","pa",1,15,9,75,15,17,"Sometimes","Always","Often","Often","Never","Always","Often","6","4","6","3","1","5","2","2",1984,"Female","White"
"210","nj",30,10,20,40,20,10,"Never","Always","Always","Always","Sometimes","Often","Often","5","3","6","2","1","4","2","1",1973,"Female","White"
"211","tx",5,45,15,35,15,15,"Never","Always","Always","Often","Sometimes","Always","Always","6","1","7","1","4","6","1","1",1984,"Female","White"
"212","az",1,1,18,60,11,15,"Never","Always","Often","Often","Sometimes","Always","Always","6","4","6","5","3","7","2","5",1986,"Female","White"
"216","canada",5,2,0,97,21,10,"Never","Often","Always","Often","Sometimes","Always","Never","7","2","7","2","3","6","1","4",1980,"Male","White"
"217","ny",8,8,4,80,25,20,"Never","Often","Sometimes","Sometimes","Sometimes","Often","Sometimes","7","4","7","5","3","7","1","2",1970,"Male","White"
"219","ca",15,5,30,50,25,25,"Sometimes","Always","Always","Often","Sometimes","Always","Always","5","3","6","3","3","6","2","3",1986,"Female","Hispanic"
"222","nv",15,25,10,60,25,16,"Never","Always","Often","Often","Sometimes","Often","Sometimes","3","1","7","1","4","3","1","4",1976,"Female","White"
"223","nj",1,5,5,89,20,18,"Often","Always","Always","Sometimes","Never","Sometimes","Sometimes","7","1","6","1","1","6","2","1",1981,"Male","White"
"224","nm",5,5,50,40,25,8,"Often","Always","Often","Always","Sometimes","Often","Always","6","2","2","4","5","6","6","1",1976,"Male","White"
"225","md",10,5,1,84,20,18,"Sometimes","Always","Always","Sometimes","Sometimes","Often","Always","3","5","5","2","4","5","6","3",1986,"Male","White"
"226","md",10,5,1,84,20,18,"Sometimes","Always","Always","Sometimes","Sometimes","Often","Always","3","5","5","2","4","5","6","3",1986,"Male","White"
"227","ny",5,5,2,88,55,18,"Always","Always","Often","Often","Often","Often","Always","6","2","7","1","2","7","1","1",1967,"Male","White"
"228","nj",0,5,5,90,20,18,"Never","Often","Often","Often","Sometimes","Sometimes","Never","4","5","5","1","4","4","5","2",1988,"Male","White"
"229","nj",1,1,3,95,25,20,"Never","Always","Never","Often","Sometimes","Sometimes","Never","6","1","7","2","2","3","1","1",1988,"Male","White"
"230","nj",5,5,10,80,15,18,"Never","Never","Often","Sometimes","Sometimes","Sometimes","Never","5","6","5","5","5","5","5","2",1988,"Male","White"
"231","ny",5,20,5,70,12,15,"Sometimes","Always","Always","Never","Sometimes","Often","Always","6","4","7","2","3","7","1","3",1987,"Female","White"
"232","ky",0,5,0,95,10,13,"Never","Always","Often","Often","Sometimes","Often","Sometimes","3","2","7","2","5","4","1","3",1987,"Female","White"
"233","nj",5,20,10,65,11,17,"Never","Always","Always","Sometimes","Sometimes","Always","Always","7","1","6","2","5","6","4","5",1987,"Female","White"
"235","pa",2,2,5,91,10,18,"Never","Sometimes","Often","Sometimes","Sometimes","Always","Always","6","2","7","4","4","6","1","2",1987,"Female","White"
"237","ny",2,2,1,95,22,15,"Sometimes","Always","Often","Sometimes","Sometimes","Often","Always","3","4","6","5","5","7","3","3",1987,"Male","White"
"239","fl",0,1,3,96,20,25,"Never","Never","Never","Sometimes","Never","Sometimes","Never","2","1","6","5","5","5","2","4",1988,"Female","White"
"240","ma",0,5,0,95,50,20,"Never","Always","Often","Sometimes","Never","Always","Always","5","1","5","2","2","5","4","5",1988,"Male","White"
"241","pa",8,2,0,90,15,20,"Never","Sometimes","Never","Always","Never","Always","Never","2","1","7","1","6","6","2","4",1988,"Female","Asian"
"242","ma",1,5,5,89,15,20,"Sometimes","Sometimes","Sometimes","Often","Sometimes","Often","Often","5","3","7","4","2","4","3","2",1988,"Female","White"
"243","russia",10,5,5,80,50,10,"Sometimes","Always","Often","Often","Sometimes","Always","Never","6","5","7","4","6","7","1","3",1981,"Female","Asian"
"244","ma",5,5,5,85,50,18,"Often","Always","Always","Often","Sometimes","Always","Always","7","2","7","1","1","7","1","1",1987,"Female","White"
"246","ny",5,5,1,89,65,20,"Never","Always","Always","Always","Often","Always","Never","7","6","6","1","1","4","2","2",1983,"Female","White"
"247","ma",2,1,1,96,10,20,"Never","Always","Never","Sometimes","Never","Always","Always","6","1","7","1","5","7","5","4",1988,"Female","White"
"249","fl",10,10,50,30,37,17,"Never","Never","Often","Sometimes","Sometimes","Sometimes","Never","4","4","5","5","5","5","5","4",1985,"Male","Hispanic"
"250","ny",7,6,8,80,15,17,"Never","Always","Always","Sometimes","Never","Often","Never","7","1","7","2","2","6","2","1",1983,"Female","White"
