"","State","asian_prop","black_prop","hispanic_prop","white_prop","ppbill","pcttip","flair","intro","selling","repeat.","customer_name","smile","thanks","Extraverted_enthusiastic","Critical_quarrelsome","Dependable_selfdisciplined","Anxious_easily_upset","Reserved_quiet","Sympathetic_warm","Disorganized_careless","Conventional_uncreative","birth_yr","sex","race"
"697","ks",4,4,2,90,20,19,"Often","Always","Often","Sometimes","Sometimes","Often","Never","5","2","7","3","4","6","1","3",1984,"Female","White"
"698","ca",30,10,0,60,30,18,"Often","Always","Always","Often","Often","Often","Never","5","4","7","2","5","6","1","1",1982,"Male","White"
"700","nc",5,20,5,70,25,18,"Never","Always","Always","Sometimes","Often","Sometimes","Sometimes","6","1","7","1","2","6","1","5",1972,"Female","White"
"701","ga",16,33,17,33,15,15,"Sometimes","Always","Always","Always","Always","Often","Always","7","5","5","5","2","5","5","1",1983,"Female","White"
"702","ny",0,1,1,98,10,17,"Sometimes","Never","Often","Always","Never","Sometimes","Sometimes","6","4","7","2","1","4","3","2",1988,"Female","White"
"703","il",5,15,5,75,40,18,"Never","Never","Sometimes","Sometimes","Often","Sometimes","Never","6","6","7","1","2","4","1","3",1970,"Female","White"
"704","fl",2,30,8,60,12,4,"Often","Always","Always","Always","Sometimes","Always","Always","6","5","7","2","5","7","1","1",1967,"Female","White"
"705","in",1,1,8,90,30,10,"Sometimes","Never","Sometimes","Always","Often","Sometimes","Never","5","2","7","3","5","3","1","3",1962,"Male","White"
"706","wa",1,0,1,98,10,13,"Never","Often","Sometimes","Often","Never","Sometimes","Sometimes","7","5","7","2","1","4","1","1",1979,"Female","White"
"707","wi",5,35,10,50,10,15,"Sometimes","Often","Often","Sometimes","Sometimes","Often","Often","5","1","6","2","4","5","3","5",1984,"Female","White"
"710","or",5,2.5,2.5,90,25,18,"Never","Never","Often","Always","Sometimes","Never","Never","6","1","7","2","1","7","1","1",1978,"Male","White"
"711","oh",0,30,0,70,15,13,"Never","Always","Often","Often","Sometimes","Sometimes","Sometimes","6","4","6","6","3","6","4","1",1971,"Female","White"
"713","pa",5,10,5,80,55,20,"Never","Never","Never","Sometimes","Sometimes","Sometimes","Never","6","2","6","6","3","6","5","1",1976,"Female","White"
"714","or",10,5,10,75,8,20,"Sometimes","Sometimes","Sometimes","Often","Sometimes","Sometimes","Sometimes","3","2","7","5","5","6","1","1",1980,"Female","White"
"715","il",2,5,2,91,30,12,"Never","Always","Often","Always","Often","Often","Often","1","3","6","1","5","3","2","5",1975,"Female","White"
"716","tx",10,10,50,30,15,15,"Sometimes","Always","Always","Sometimes","Never","Sometimes","Never","5","3","4","5","5","6","6","1",1985,"Male","White"
"717","oh",3,40,2,55,26,17,"Never","Always","Often","Always","Sometimes","Often","Always","6","4","7","5","2","7","5","2",1977,"Female","White"
"719","az",2,5,5,88,20,2,"Often","Sometimes","Often","Often","Sometimes","Often","Never","6","1","5","3","4","5","3","1",1989,"Female","White"
"720","tx",19,4,35,50,100,0,"Never","Always","Always","Always","Often","Always","Often","7","2","5","1","3","7","2","7",1955,"Female","White"
"721","wi",3,3,3,90,15,12,"Sometimes","Never","Often","Often","Often","Never","Never","2","4","7","2","5","4","1","4",1985,"Male","White"
"722","ny",2,0.5,0.5,98,20,15,"Never","Sometimes","Often","Sometimes","Never","Sometimes","Never","7","5","6","5","2","5","2","1",1986,"Female","White"
"723","ny",0,1,0,99,8,10,"Sometimes","Never","Never","Sometimes","Often","Often","Never","7","4","6","5","2","6","1","4",1987,"Female","White"
"726","or",6.6,6.6,6.6,80,55,18,"Never","Never","Often","Sometimes","Often","Never","Never","5","2","7","2","2","5","1","1",1974,"Female","White"
"727","tx",2,5,3,90,22,17,"Never","Always","Often","Often","Often","Always","Always","6","2","5","3","2","7","5","3",1975,"Male","White"
"728","tx",15,5,5,75,50,25,"Sometimes","Often","Always","Sometimes","Always","Often","Never","5","2","7","4","1","4","2","1",1982,"Male","White"
"731","pa",1,30,1,68,9,15,"Sometimes","Always","Sometimes","Sometimes","Sometimes","Often","Never","4","2","5","2","1","6","1","3",1988,"Male","White"
"733","wi",0,1,1,98,27,20,"Sometimes","Always","Always","Sometimes","Always","Often","Sometimes","7","2","6","1","2","5","1","1",1954,"Male","White"
"734","in",1,20,10,69,20,10,"Sometimes","Always","Sometimes","Always","Sometimes","Always","Never","6","4","6","2","1","7","2","1",1982,"Female","White"
"735","tx",10,20,30,40,15,15,"Always","Often","Sometimes","Often","Never","Sometimes","Always","6","2","6","5","2","6","3","2",1986,"Female","White"
"736","dc",3,10,10,75,65,20,"Never","Often","Often","Often","Often","Often","Always","6","3","7","1","5","6","2","2",1971,"Male","Black"
"737","co",10,5,10,75,20,18,"Never","Never","Always","Never","Often","Never","Often","5","2","7","2","4","6","1","2",1983,"Female","White"
"739","nc",0,5,5,90,18,18,"Sometimes","Always","Always","Sometimes","Sometimes","Always","Always","2","1","6","6","7","7","2","4",1972,"Female","White"
"740","tx",20,20,10,50,15,20,"Always","Always","Always","Always","Always","Sometimes","Never","6","4","7","2","1","7","1","1",1985,"Male","Asian"
"741","ca",20,10,10,60,42,17,"Sometimes","Never","Often","Often","Sometimes","Always","Always","7","3","6","1","1","6","1","2",1957,"Female","White"
"742","tn",23,23,4,50,50,15,"Never","Always","Always","Never","Sometimes","Never","Always","4","1","6","4","5","6","2","1",1981,"Male","White"
"745","mi",1,1,0,98,75,20,"Always","Always","Sometimes","Sometimes","Sometimes","Often","Never","7","6","7","6","1","6","2","1",1968,"Female","White"
"746","tn",2,48,2,48,20,16,"Sometimes","Always","Often","Always","Always","Always","Always","5","2","7","6","5","7","6","1",1984,"Female","White"
"750","ia",9,5,1,85,30,20,"Sometimes","Never","Always","Often","Sometimes","Sometimes","Sometimes","2","6","6","6","5","6","5","2",1980,"Male","Hispanic"
"751","ca",5,5,20,70,40,20,"Always","Always","Always","Always","Always","Often","Always","4","6","6","6","2","2","1","5",1971,"Male","White"
"752","ri",2,10,8,80,20,15,"Never","Sometimes","Sometimes","Sometimes","Sometimes","Often","Always","5","2","7","2","5","6","4","3",1982,"Female","White"
"753","ca",2,1,5,90,20,15,"Never","Always","Sometimes","Often","Never","Sometimes","Sometimes","7","1","2","2","4","4","4","4",1973,"Male","Asian"
"754","az",15,5,20,60,48,18,"Always","Always","Always","Always","Often","Sometimes","Never","7","4","7","2","2","6","1","1",1968,"Male","White"
"756","mo",10,25,10,55,45,18,"Never","Sometimes","Always","Always","Often","Always","Never","7","1","7","3","1","5","1","2",1966,"Female","White"
"757","tn",2,4,0,94,15,20,"Never","Always","Always","Always","Sometimes","Sometimes","Never","6","2","6","1","2","6","1","2",1981,"Female","White"
"758","md",4,4,3,89,25,18,"Never","Never","Sometimes","Always","Sometimes","Always","Sometimes","6","1","7","2","2","7","4","3",1983,"Female","White"
"759","mt",1,1,1,97,35,15,"Never","Always","Always","Always","Always","Sometimes","Never","2","3","7","1","6","6","1","5",1982,"Male","White"
"760","ky",3,4,3,90,10,15,"Never","Always","Sometimes","Sometimes","Never","Often","Never","7","2","3","2","2","5","5","2",1981,"Female","White"
"761","ca",9,1,20,70,50,17,"Never","Always","Often","Often","Often","Always","Always","6","2","6","2","2","6","2","2",1958,"Male","White"
"762","tx",10,10,10,70,15,18,"Never","Always","Always","Always","Often","Often","Sometimes","6","2","5","5","4","6","5","4",1984,"Male","White"
"764","canada",40,1,1,58,60,14,"Never","Never","Often","Never","Often","Sometimes","Never","4","2","7","5","6","6","1","1",1970,"Female","White"
"765","canada",10,2,2,86,11,13,"Never","Never","Often","Always","Never","Sometimes","Often","5","2","5","3","3","6","2","2",1979,"Female","White"
"766","tx",5,20,25,50,10.06,15,"Always","Always","Always","Sometimes","Sometimes","Often","Always","7","1","7","1","1","6","1","3",1957,"Female","White"
"768","fl",5,35,25,35,20,10,"Sometimes","Always","Often","Often","Sometimes","Often","Always","5","4","7","2","5","7","1","4",1985,"Female","White"
"769","ny",1,3,1,95,45,18,"Never","Never","Always","Always","Sometimes","Sometimes","Never","4","6","5","1","5","5","1","1",1967,"Male","Asian"
"770","il",20,5,1,74,40,18,"Never","Always","Never","Never","Sometimes","Sometimes","Sometimes","5","3","6","2","2","5","5","2",1983,"Female","White"
"771","ar",5,10,35,50,35,30,"Never","Always","Always","Always","Always","Always","Never","7","2","7","6","1","7","4","1",1981,"Female","White"
"772","nc",5,45,3,52,20,18,"Never","Always","Always","Often","Sometimes","Often","Never","5","3","6","1","2","5","1","2",1980,"Male","White"
"773","pa",1,1,1,99,25,18,"Sometimes","Always","Often","Sometimes","Often","Always","Always","7","1","7","6","5","6","2","2",1953,"Female","White"
"774","tx",5,15,15,65,20,17,"Never","Always","Never","Often","Never","Often","Often","6","3","7","6","2","6","1","4",1980,"Female","White"
"775","tx",20,10,30,40,18,12,"Never","Sometimes","Sometimes","Sometimes","Often","Sometimes","Never","5","3","6","3","4","6","5","4",1977,"Male","White"
"776","nj",5,10,5,80,35,20,"Never","Always","Always","Often","Sometimes","Sometimes","Often","7","3","6","2","1","7","2","1",1977,"Female","White"
"777","oh",2,2,2,94,50,17,"Never","Never","Always","Often","Sometimes","Sometimes","Never","7","5","5","3","2","2","2","1",1970,"Male","White"
"778","nj",3,7,3,7,13,6,"Never","Often","Sometimes","Often","Sometimes","Never","Never","2","3","6","1","4","3","6","4",1985,"Male","White"
"780","pa",0,20,0,80,15,20,"Never","Always","Sometimes","Sometimes","Never","Never","Often","7","7","7","2","1","6","1","1",1978,"Female","White"
"781","ca",10,0,80,10,16.5,20,"Always","Always","Always","Always","Often","Always","Always","7","2","7","1","1","7","1","1",1986,"Female","White"
"782","wa",5,5,10,80,50,18,"Never","Sometimes","Sometimes","Sometimes","Sometimes","Often","Always","5","2","5","3","3","4","1","4",1978,"Female","Asian"
"783","wi",0,5,5,90,10,18,"Sometimes","Never","Always","Never","Sometimes","Sometimes","Sometimes","5","4","7","4","4","5","1","1",1964,"Female","White"
"784","ks",5,5,5,85,50,10,"Sometimes","Often","Sometimes","Always","Always","Never","Always","3","1","7","1","3","7","1","7",1978,"Female","White"
"785","oh",0,60,5,35,12,10,"Never","Always","Often","Often","Often","Sometimes","Always","6","1","7","2","3","6","1","1",1974,"Female","White"
"787","ne",10,5,5,80,15,15,"Never","Always","Often","Often","Sometimes","Often","Often","5","3","5","5","2","5","2","2",1970,"Female","White"
"789","nc",0,10,5,85,14.5,13,"Never","Always","Always","Often","Never","Often","Sometimes","2","1","6","1","3","7","2","1",1972,"Female","White"
"790","la",1,2,1,96,15,12,"Never","Often","Sometimes","Sometimes","Often","Often","Never","6","2","7","5","6","6","2","6",1954,"Male","White"
"792","glos",0,5,0,95,80,5,"Never","Never","Sometimes","Always","Sometimes","Sometimes","Never","2","3","5","1","6","6","4","7",1987,"Male","White"
"794","co",5,5,15,80,14,15,"Sometimes","Always","Always","Always","Often","Often","Never","5","2","7","4","3","4","5","3",1976,"Male","White"
"796","ny",5,5,5,85,15,18,"Never","Never","Always","Often","Often","Often","Never","7","5","6","4","5","6","1","4",1975,"Male","White"
"797","ny",10,10,10,70,40,18,"Never","Never","Often","Always","Sometimes","Often","Never","5","2","6","1","6","6","5","5",1987,"Female","White"
"798","mo",0,0,0,100,50,25,"Never","Always","Always","Always","Always","Never","Always","7","1","7","1","1","6","1","2",1962,"Male","White"
"799","co",2,2,1,95,25,20,"Always","Never","Sometimes","Always","Often","Never","Never","6","1","7","2","2","7","1","1",1979,"Female","White"
"803","nc",0,10,0,90,7,10,"Never","Always","Sometimes","Often","Never","Sometimes","Never","5","2","6","3","4","6","2","3",1966,"Female","White"
"804","ca",50,5,15,30,30,17,"Never","Never","Often","Sometimes","Often","Sometimes","Never","3","5","7","5","3","6","2","2",1977,"Female","White"
"805","ar",2,0,2,96,15,10,"Sometimes","Often","Often","Never","Sometimes","Often","Often","6","1","7","1","1","6","1","1",1983,"Female","White"
"806","ny",0,2,0,98,10,13,"Never","Never","Sometimes","Often","Always","Often","Sometimes","5","2","7","1","1","6","1","1",1958,"Female","White"
"810","az",3,7,30,60,15,20,"Never","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","5","4","7","1","5","5","1","1",1984,"Male","White"
"812","ny",5,15,25,55,35,20,"Never","Always","Often","Sometimes","Always","Sometimes","Sometimes","7","3","4","5","2","6","5","1",1979,"Male","White"
"814","ca",8,3,3,86,25,20,"Never","Always","Always","Often","Sometimes","Sometimes","Sometimes","6","2","4","1","1","5","2","2",1986,"Male","White"
"815","az",10,25,25,40,10,18,"Never","Always","Always","Always","Often","Always","Never","4","5","6","5","7","7","7","7",1982,"Male","White"
"816","ca",10,7,8,75,12,15,"Sometimes","Never","Sometimes","Often","Never","Never","Sometimes","6","6","6","1","2","5","5","7",1979,"Female","White"
"817","or",2.5,2.5,10,85,17,13,"Often","Always","Always","Always","Sometimes","Always","Sometimes","7","1","6","2","3","6","2","2",1987,"Female","White"
"818","sc",20,20,0,60,15,30,"Never","Always","Always","Sometimes","Never","Often","Sometimes","5","3","6","1","3","4","1","2",1985,"Male","White"
"819","mo",2,5,5,88,16,23,"Sometimes","Always","Often","Often","Always","Often","Never","7","2","7","1","1","5","2","2",1976,"Male","White"
"821","ca",1,0,6,93,9,4,"Often","Always","Often","Always","Always","Sometimes","Often","3","1","5","1","5","6","1","2",1963,"Female","White"
"822","fl",8,15,7,70,50,19,"Sometimes","Always","Always","Often","Often","Often","Sometimes","6","3","5","6","1","6","1","1",1980,"Female","White"
"823","ca",20,20,20,40,25,18,"Often","Always","Always","Always","Sometimes","Often","Never","7","1","6","1","1","6","3","2",1961,"Female","White"
"824","in",1,1,1,97,15,12,"Sometimes","Always","Always","Often","Often","Sometimes","Never","6","5","5","5","1","5","6","1",1971,"Female","White"
